,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Error,totalSeasons
16,The Front Page,1974,PG,20 Dec 1974,105 min,"Comedy, Drama, Romance",Billy Wilder,"Ben Hecht (play), Charles MacArthur (play), Billy Wilder (screenplay), I.A.L. Diamond (screenplay)","Jack Lemmon, Walter Matthau, Susan Sarandon, Vincent Gardenia","As a tabloid newspaper editor tries to prevent his top reporter from retiring, an escaped death row convict shows up at the office trying to convey his innocence.",English,USA,Nominated for 3 Golden Globes. Another 2 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BNzFiMTFkYzItODM4Zi00ZGM0LThhOGItYTBhYjNhMmY2ZmZmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",62,7.3,"12,053",tt0071524,movie,N/A,N/A,N/A,N/A,True,,
17,Morocco,1930,Passed,06 Dec 1930,92 min,"Drama, Romance",Josef von Sternberg,"Jules Furthman (adapted by), Benno Vigny (from the play ""Amy Jolly"" by)","Gary Cooper, Marlene Dietrich, Adolphe Menjou, Ullrich Haupt","A cabaret singer and a Legionnaire fall in love, but their relationship is complicated by the results of his womanizing and due to the appearance of a rich man who wants her for himself.","English, French, Spanish, Arabic, Italian",USA,Nominated for 4 Oscars. Another 3 wins.,https://m.media-amazon.com/images/M/MV5BOWNiYzgxZjMtZTI5NC00MmZkLThkNTgtZGJmZTA0OTZmOGJiXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}]",N/A,7.1,"5,405",tt0021156,movie,N/A,N/A,Paramount Pictures,N/A,True,,
18,Skippy,1967–,N/A,03 Dec 1967,25 min,"Adventure, Family",N/A,"Lee Robinson, Dennis Hill","Ed Devereaux, Tony Bonner, Ken James, Garry Pankhurst","Sonny and his kangaroo Skippy live in Waratah National Park in New South Wales. Matt Hammond, Sonny's father is the park ranger. Skippy saves the day in many adventures.",English,Australia,1 win.,https://m.media-amazon.com/images/M/MV5BMTgzNDcwOTU4OV5BMl5BanBnXkFtZTcwMTkwNDMzMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",N/A,6.4,803,tt0060025,series,,,,,True,,3
19,Bad Girl,1931,Passed,13 Sep 1931,90 min,"Drama, Romance",Frank Borzage,"Viña Delmar (novel), Brian Marlow (play), Edwin J. Burke (scenario)","James Dunn, Sally Eilers, Minna Gombell, Frank Darien","A man and woman, skeptical about romance, nonetheless fall in love and are wed, but their lack of confidence in the opposite sex haunts their marriage.",English,USA,Won 2 Oscars. Another 1 nomination.,https://m.media-amazon.com/images/M/MV5BMjI2NDAwNDAyM15BMl5BanBnXkFtZTcwNjM1MjQxMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '39%'}]",N/A,6.5,"1,086",tt0021635,movie,N/A,N/A,Fox Film Corporation,N/A,True,,
20,The Champ,1979,PG,04 Apr 1979,121 min,"Drama, Sport",Franco Zeffirelli,"Frances Marion (story), Walter Newman","Jon Voight, Faye Dunaway, Ricky Schroder, Jack Warden","A former boxer discovers that his biggest battle of all is going to be with his ex-wife, Annie, who returns after abandoning their young son seven years prior.",English,USA,Nominated for 1 Oscar. Another 2 wins & 6 nominations.,https://m.media-amazon.com/images/M/MV5BZDdmMGNiOGQtOWQzNC00ZDZjLWIxM2ItZTBlNGEwMzM1MGVjXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '36%'}, {'Source': 'Metacritic', 'Value': '38/100'}]",38,6.9,"7,608",tt0078950,movie,N/A,N/A,Metro Goldwyn Mayer,N/A,True,,
21,Shanghai Express,1932,Approved,12 Feb 1932,82 min,"Adventure, Drama, Romance, Thriller",Josef von Sternberg,"Jules Furthman (screen play), Harry Hervey (based on the story by)","Marlene Dietrich, Clive Brook, Anna May Wong, Warner Oland",A notorious woman rides a train through a dangerous situation with a British captain she loved.,"English, French, Cantonese, German",USA,Won 1 Oscar. Another 2 nominations.,https://m.media-amazon.com/images/M/MV5BMDc3ODRlZDktY2M2MC00Y2UxLWI1MWMtODkyYjI1NzQyNjIwXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '83/100'}]",83,7.3,"7,366",tt0023458,movie,N/A,N/A,Paramount Pictures,N/A,True,,
22,Cavalcade,1933,Passed,15 Apr 1933,112 min,"Drama, Romance, War",Frank Lloyd,Reginald Berkeley (screen play),"Diana Wynyard, Clive Brook, Una O'Connor, Herbert Mundin","A portrayal of the triumphs and tragedies of two English families, the upper-crust Marryots and the working-class Bridgeses, from 1899 to 1933.",English,USA,Won 3 Oscars. Another 1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BNWJlMjljMmItZTNiNC00NGI3LWFhYzgtMTk1ZmNhZjZiYzU2XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '59%'}]",N/A,5.8,"4,392",tt0023876,movie,N/A,N/A,N/A,N/A,True,,
23,Lady for a Day,1933,Passed,13 Sep 1933,96 min,"Comedy, Drama",Frank Capra,"Robert Riskin (screen play and dialogue), Damon Runyon (from the story by)","Warren William, May Robson, Guy Kibbee, Glenda Farrell","A gangster tries to make Apple Annie, the Times Square apple seller, a lady for a day.","English, Spanish",USA,N/A,https://m.media-amazon.com/images/M/MV5BMTA4MjUxOTMwMTNeQTJeQWpwZ15BbWU4MDYyNjMwNDIx._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,7.4,"3,682",tt0024240,movie,N/A,N/A,Columbia Pictures Corporation,N/A,True,,
24,Little Women,2019,PG,25 Dec 2019,135 min,"Drama, Romance",Greta Gerwig,"Greta Gerwig (written for the screen by), Louisa May Alcott (based on the novel by)","Saoirse Ronan, Emma Watson, Florence Pugh, Eliza Scanlen","Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms.","English, French",USA,Won 1 Oscar. Another 71 wins & 187 nominations.,https://m.media-amazon.com/images/M/MV5BY2QzYTQyYzItMzAwYi00YjZlLThjNTUtNzMyMDdkYzJiNWM4XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '91/100'}]",91,7.8,"127,124",tt3281548,movie,N/A,N/A,"Columbia Pictures, Pascal Pictures, New Regency Pictures",N/A,True,,
25,It Happened One Night,1934,Approved,22 Feb 1934,105 min,"Comedy, Romance",Frank Capra,"Robert Riskin (screen play), Samuel Hopkins Adams (based on the short story by)","Clark Gable, Claudette Colbert, Walter Connolly, Roscoe Karns",A spoiled heiress running away from her family is helped by a man who is actually a reporter in need of a story.,English,USA,Won 5 Oscars. Another 5 wins & 2 nominations.,https://m.media-amazon.com/images/M/MV5BYzJmMWE5NjAtNWMyZS00NmFiLWIwMDgtZDE2NzczYWFhNzIzXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}, {'Source': 'Metacritic', 'Value': '87/100'}]",87,8.1,"91,690",tt0025316,movie,N/A,N/A,Columbia Pictures Corporation,N/A,True,,
26,One Night of Love,1934,Passed,15 Sep 1934,84 min,"Music, Romance",Victor Schertzinger,"S.K. Lauren (screen play), James Gow (screen play), Edmund H. North (screen play), Dorothy Speare (story: Don't Fall in Love), Charles Beahan (story: Don't Fall in Love)","Grace Moore, Tullio Carminati, Lyle Talbot, Mona Barrie","Mary Barrett is an aspiring Opera singer who is taken under the wings of a famous operatic maestro, Guilio Monterverdi. After spending endless working hours together and arguing, their ...","English, Italian",USA,Won 2 Oscars. Another 1 win & 4 nominations.,https://m.media-amazon.com/images/M/MV5BNzk5NDg0NTY4NF5BMl5BanBnXkFtZTgwODQxODgwMzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}]",N/A,5.7,475,tt0025601,movie,N/A,N/A,Columbia Pictures Corporation,N/A,True,,
27,The Thin Man,1934,TV-PG,25 May 1934,91 min,"Comedy, Crime, Mystery",W.S. Van Dyke,"Albert Hackett (screen play), Frances Goodrich (screen play), Dashiell Hammett (from the novel by)","William Powell, Myrna Loy, Maureen O'Sullivan, Nat Pendleton","Former detective Nick Charles and his wealthy wife Nora investigate a murder case, mostly for the fun of it.",English,USA,Nominated for 4 Oscars. Another 3 wins.,https://m.media-amazon.com/images/M/MV5BYmFlOWMwMjAtMDMyMC00N2JjLTllODUtZjY3YWU3NGRkM2I2L2ltYWdlXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}]",N/A,8.0,"25,830",tt0025878,movie,N/A,N/A,"Metro Goldwyn Mayer, Cosmopolitan Films",N/A,True,,
28,Captain Blood,1935,Passed,28 Dec 1935,119 min,"Action, Adventure",Michael Curtiz,"Rafael Sabatini (by), Casey Robinson (screen play)","Errol Flynn, Olivia de Havilland, Lionel Atwill, Basil Rathbone","After being wrongly convicted as a traitor, Peter Blood, an English physician, is sent to exile in the British colonies of the Caribbean, where he becomes a pirate.","English, French",USA,N/A,https://m.media-amazon.com/images/M/MV5BMjMwNDc1MzMyNV5BMl5BanBnXkFtZTgwODUzMjU1MzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,7.7,"12,734",tt0026174,movie,N/A,N/A,Warner Brothers/Seven Arts,N/A,True,,
29,The Informer,2019,R,30 Aug 2019,113 min,"Crime, Drama, Thriller",Andrea Di Stefano,"Matt Cook (screenplay by), Rowan Joffe (screenplay by), Andrea Di Stefano (screenplay by), Börge Hellström (novel), Anders Roslund (novel)","Joel Kinnaman, Mateusz Kosciukiewicz, Karma Meyer, Ana de Armas",An ex-convict working undercover intentionally gets himself incarcerated again in order to infiltrate the mob at a maximum security prison.,"English, Polish, Spanish","UK, USA, Canada",1 nomination.,https://m.media-amazon.com/images/M/MV5BOTlkNWZhZGQtNjIxNC00OWU5LTg5NjEtY2EyMDY2NmQ2NGRhXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",61,6.6,"17,058",tt1833116,movie,N/A,N/A,Thunder Road Pictures,N/A,True,,
30,The Lives of a Bengal Lancer,1935,Passed,01 Feb 1935,109 min,"Adventure, Drama, War",Henry Hathaway,"Waldemar Young (screen play), John L. Balderston (screen play), Achmed Abdullah (screen play), Grover Jones (adaptation), William Slavens McNutt (adaptation), Francis Yeats-Brown (suggested by the novel by)","Gary Cooper, Franchot Tone, Richard Cromwell, Guy Standing",Three British soldiers on the Northwest Frontier of India struggle against the enemy - and themselves.,English,USA,Won 1 Oscar. Another 1 win & 6 nominations.,https://m.media-amazon.com/images/M/MV5BOTMwOTMwY2QtMGVmYS00NjYxLWI5MjQtOTczNTVmOWVlNzczXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,7.1,"2,553",tt0026643,movie,N/A,N/A,Paramount Pictures,N/A,True,,
31,Mutiny on the Bounty,1935,Passed,N/A,132 min,"Adventure, Biography, Drama, History, Romance",Frank Lloyd,"Talbot Jennings (screenplay), Jules Furthman (screenplay), Carey Wilson (screenplay), Charles Nordhoff (book), James Norman Hall (book), Margaret Booth","Charles Laughton, Clark Gable, Franchot Tone, Herbert Mundin",A tyrannical ship captain takes his reluctant crew on a two-year voyage that will change British maritime law forever.,"English, Polynesian",USA,Won 1 Oscar. Another 2 wins & 7 nominations.,https://m.media-amazon.com/images/M/MV5BYThmYTIyZDctMjhlOC00ZTI1LWI5NDctYjdkMDJmN2FhODk5XkEyXkFqcGdeQXVyNjUwMzI2NzU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '87/100'}]",87,7.7,"20,424",tt0026752,movie,N/A,N/A,Metro-Goldwyn-Mayer,N/A,True,,
32,Dodsworth,1936,Passed,23 Sep 1936,101 min,"Drama, Romance",William Wyler,"Sinclair Lewis (novel), Sidney Howard (dramatisation), Sidney Howard (screenplay)","Walter Huston, Ruth Chatterton, Paul Lukas, Mary Astor",A retired auto manufacturer and his wife take a long-planned European vacation only to find that they want very different things from life.,"English, French, German, Italian",USA,Won 1 Oscar. Another 2 wins & 9 nominations.,https://m.media-amazon.com/images/M/MV5BNTIzOWU0NWUtN2Y2ZC00N2U2LTliMzQtZWNjNmZkNTc4YTU3L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}]",N/A,7.8,"7,988",tt0027532,movie,N/A,N/A,Samuel Goldwyn Company,N/A,True,,
33,The Great Ziegfeld,1936,Not Rated,08 Apr 1936,176 min,"Biography, Drama, Musical, Romance",Robert Z. Leonard,William Anthony McGuire (screenplay),"William Powell, Myrna Loy, Luise Rainer, Frank Morgan","The ups and downs of Florenz Ziegfeld Jr., famed producer of extravagant stage revues, are portrayed.",English,USA,Won 3 Oscars. Another 1 win & 5 nominations.,https://m.media-amazon.com/images/M/MV5BOTEzMTZjNjQtMDdiOC00YzU3LTgwODItYjEyYjRiNWFiNmZkXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '62%'}]",N/A,6.7,"6,990",tt0027698,movie,N/A,N/A,Metro-Goldwyn-Mayer,N/A,True,,
34,Mr. Deeds Goes to Town,1936,Not Rated,12 Apr 1936,115 min,"Comedy, Drama, Romance",Frank Capra,"Robert Riskin (screen play), Clarence Budington Kelland (story)","Gary Cooper, Jean Arthur, George Bancroft, Lionel Stander",A simple small-town man inherits a massive fortune and is immediately hounded by those who wish to take advantage of him.,English,USA,Won 1 Oscar. Another 4 wins & 7 nominations.,https://m.media-amazon.com/images/M/MV5BNzdiMDVkNmMtNDI0Ny00MTQ5LWEwNjAtODQxOGNjOTZmMGVmL2ltYWdlXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}]",N/A,7.9,"19,377",tt0027996,movie,N/A,N/A,Columbia Pictures Corporation,N/A,True,,
35,My Man Godfrey,1936,Not Rated,06 Sep 1936,94 min,"Comedy, Drama, Romance",Gregory La Cava,"Morrie Ryskind (screen play), Eric Hatch (screen play), Eric Hatch (based on the novel by)","William Powell, Carole Lombard, Alice Brady, Gail Patrick",A scatterbrained socialite hires a vagrant as a family butler - but there's more to Godfrey than meets the eye.,"English, Russian",USA,Nominated for 6 Oscars. Another 1 win.,https://m.media-amazon.com/images/M/MV5BNTdkZTViNWItZWM2NS00YmMzLWJiYzgtYTAwODEyNjM0NjIwXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}]",N/A,8.0,"19,723",tt0028010,movie,N/A,N/A,Universal Pictures,N/A,True,,
36,San Francisco,1936,Passed,26 Jun 1936,115 min,"Drama, Musical, Romance",W.S. Van Dyke,"Anita Loos (screen play), Robert E. Hopkins (from the story by)","Clark Gable, Jeanette MacDonald, Spencer Tracy, Jack Holt","A Barbary Coast saloonkeeper and a Nob Hill impresario are rivals for the affections of a beautiful singer, both personally and professionally in 1906 San Francisco.",English,USA,Won 1 Oscar. Another 2 wins & 6 nominations.,https://m.media-amazon.com/images/M/MV5BMjM4MjA5MDU0Nl5BMl5BanBnXkFtZTgwOTIyNTczMjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,7.2,"4,802",tt0028216,movie,N/A,N/A,Metro-Goldwyn-Mayer,N/A,True,,
37,The Awful Truth,1937,Passed,21 Oct 1937,90 min,"Comedy, Romance",Leo McCarey,"Viña Delmar (screen play), Arthur Richman (based on a play by)","Irene Dunne, Cary Grant, Ralph Bellamy, Alexander D'Arcy","A married couple file an amicable divorce, but find it harder to let go of each other than they initially thought.","English, French, Italian",USA,Won 1 Oscar. Another 2 wins & 5 nominations.,https://m.media-amazon.com/images/M/MV5BNzMwMTU0MTk2Nl5BMl5BanBnXkFtZTgwMTUyMjkzMjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '87/100'}]",87,7.7,"17,239",tt0028597,movie,N/A,N/A,Columbia Pictures Corporation,N/A,True,,
38,The Good Earth,1937,Passed,06 Aug 1937,138 min,"Drama, Romance","Sidney Franklin, Victor Fleming, Gustav Machatý, Sam Wood","Talbot Jennings (screen play), Tess Slesinger (screen play), Claudine West (screen play), Pearl S. Buck (based upon the novel by)","Paul Muni, Luise Rainer, Walter Connolly, Tilly Losch","Although married Chinese farmers Wang and O-Lan initially experience success, their lives are complicated by declining fortunes and lean times, as well as the arrival of the beautiful young Lotus.",English,USA,Won 2 Oscars. Another 2 wins & 3 nominations.,https://m.media-amazon.com/images/M/MV5BNTM4NTczZWEtMTRhNi00YmRmLWE5ZDMtNjE2NGM0NDAwMjc2XkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}]",N/A,7.5,"4,390",tt0028944,movie,N/A,N/A,Metro-Goldwyn-Mayer,N/A,True,,
39,The Life of Emile Zola,1937,Passed,02 Oct 1937,116 min,"Biography, Drama",William Dieterle,"Norman Reilly Raine (screen play), Heinz Herald (screen play), Geza Herczeg (screen play), Heinz Herald (story), Geza Herczeg (story), Matthew Josephson (source material ""Zola and His Time"")","Paul Muni, Gale Sondergaard, Joseph Schildkraut, Gloria Holden",The biopic of the famous French muckraking writer and his involvement in fighting the injustice of the Dreyfuss Affair.,English,USA,Won 3 Oscars. Another 5 wins & 7 nominations.,https://m.media-amazon.com/images/M/MV5BNDI2ODAyNDQzMV5BMl5BanBnXkFtZTgwNzE2MzI2MzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}]",N/A,7.2,"6,914",tt0029146,movie,N/A,N/A,Warner Brothers,N/A,True,,
40,Stage Door,1937,Approved,08 Oct 1937,92 min,"Comedy, Drama",Gregory La Cava,"Morrie Ryskind (screen play), Anthony Veiller (screen play), Edna Ferber (from the play by), George S. Kaufman (from the play by)","Katharine Hepburn, Ginger Rogers, Adolphe Menjou, Gail Patrick","A chronicle of the ambitions, dreams, and disappointments of aspiring actresses who all live in the same boarding house.",English,USA,Nominated for 4 Oscars. Another 2 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BNzQwNTQxOTY3OF5BMl5BanBnXkFtZTgwMTg0MDgyMTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}]",N/A,7.7,"7,255",tt0029604,movie,N/A,N/A,RKO Radio Pictures Inc.,N/A,True,,
